Location,Dim1,Value
Liberia,Total,8 272
Argentina,Injuries,8 316
Nepal,Injuries,8 350
Austria,Noncommunicable diseases,8 605
Sweden,Total,8 675
Democratic People's Republic of Korea,Injuries,8 726
Tunisia,Noncommunicable diseases,8 736
Kyrgyzstan,Total,8 747
France,Injuries,8 800
Turkmenistan,Noncommunicable diseases,8 931
Colombia,Injuries,8 967
Republic of Moldova,Total,8 973
Bosnia and Herzegovina,Noncommunicable diseases,8 977
Oman,"Infectious, parasitic, neonatal and nutritional",80
Saint Vincent and the Grenadines,Noncommunicable diseases,80
Kenya,Total,80 724
Cyprus,Total,818
